,article_title,article_url,journal_name,vol_title,vol_url,download
3,Quantitative characterisation of ballistic cartridge cases from micro-CT,https://www.sciencedirect.com/science/article/pii/S0379073821002334/pdfft?md5=c0be1a78a8a73fa53f381efe3bfabfca&pid=1-s2.0-S0379073821002334-main.pdf,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
0,Fatal methemoglobinemia: A case series highlighting a new trend in intentional sodium nitrite or sodium nitrate ingestion as a method of suicide,https://www.sciencedirect.com/science/article/pii/S0379073821002279,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
1,Developmental validation of a multiplex proteomic assay for the identification of forensically relevant biological fluids,https://www.sciencedirect.com/science/article/pii/S0379073821002280,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
2,Replacing Synperonic® N in the physical developer fingermark visualisation process: Pseudo-operational trial and parameter studies,https://www.sciencedirect.com/science/article/pii/S037907382100236X,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
4,Statistical models for firearm and tool mark image comparisons based on the congruent matching cells (CMC) method,https://www.sciencedirect.com/science/article/pii/S0379073821002322,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
5,Analysis of Google Trends to monitor new psychoactive substance. Is there an added value?,https://www.sciencedirect.com/science/article/pii/S0379073821002383,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
6,Forensic considerations on the two major civilian terrorist events occurred in Milan: A retrospective autopsy-based study,https://www.sciencedirect.com/science/article/pii/S0379073821002498,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
7,The lead-in method for bullet impacts in metal panels,https://www.sciencedirect.com/science/article/pii/S0379073821002346,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
8,Effect of blast loading on the risk of rib fractures: a preliminary 3D numerical investigation,https://www.sciencedirect.com/science/article/pii/S0379073821002504,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
9,Freshwater diatom persistence on clothing II: Further analysis of species assemblage dynamics over investigative timescales,https://www.sciencedirect.com/science/article/pii/S0379073821002176/pdfft?md5=1e57dd87744d202899f03f0740f2e2ce&pid=1-s2.0-S0379073821002176-main.pdf,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
10,Seizures of New Psychoactive Substances on the Italian territory during the COVID-19 pandemic,https://www.sciencedirect.com/science/article/pii/S0379073821002243,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
11,Determination of antidepressants and benzodiazepines in paired hair and nail samples,https://www.sciencedirect.com/science/article/pii/S0379073821002553/pdfft?md5=021f5f86b507f2b9041906f88af4f5b4&pid=1-s2.0-S0379073821002553-main.pdf,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
12,Freeze-drying improves DNA yield from teeth,https://www.sciencedirect.com/science/article/pii/S0379073821002589,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,x
13,Teledentistry and forensic odontology: Cross-sectional observational comparative pilot study,https://www.sciencedirect.com/science/article/pii/S0379073821002528/pdfft?md5=d0efcd3c51b938a6e8373a26d37a491c&pid=1-s2.0-S0379073821002528-main.pdf,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
14,Fingermark detection using upconverting nanoparticles and comparison with cyanoacrylate fuming,https://www.sciencedirect.com/science/article/pii/S0379073821002358,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
15,Establishing likelihood ratios for evaluating opposing propositions concerning the activity causing methamphetamine contamination: Smoking or manufacture?,https://www.sciencedirect.com/science/article/pii/S0379073821002590,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
16,"Ancestry analysis using autosomal SNPs in northern South America, reveals interpretation differences between an AIM panel and an identification panel",https://www.sciencedirect.com/science/article/pii/S0379073821002541,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
17,Aspiration-related pneumonia after Taser exposure – A multiple causations mechanism,https://www.sciencedirect.com/science/article/pii/S0379073821002267,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
18,Propofol misuse in Ireland – Two case reports and a review of the literature,https://www.sciencedirect.com/science/article/pii/S0379073821002292,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
19,"Unexpected identification of a bupivacaine analog from smuggling by using single-crystal X-ray diffraction analysis: N-(2,6-dimethylphenyl)−1-phenethylpiperidine-2-carboxamide",https://www.sciencedirect.com/science/article/pii/S0379073821002371,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
20,Ocfentanil testing in hair from a fatality case: Comparative analysis of a lock of hair versus a single hair fiber,https://www.sciencedirect.com/science/article/pii/S0379073821002577,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
21,"AK bullet (7,62 × 39 mm) ricochet off flat, wooden targets; A forensic-based study",https://www.sciencedirect.com/science/article/pii/S0379073821002231,FSI,Volume 326 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/326/suppl/C,
22,Editorial Board,https://www.sciencedirect.com/science/article/pii/S0379073821002437/pdfft?md5=e4d9b7c68e38b48b561c9512643027f7&pid=1-s2.0-S0379073821002437-main.pdf,FSI,Volume 325 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/325/suppl/C,
23,Intrinsic and extrinsic factors that may influence DNA preservation in skeletal remains: A review,https://www.sciencedirect.com/science/article/pii/S0379073821001791,FSI,Volume 325 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/325/suppl/C,
24,Wastewater analysis of psychoactive drugs: Non-enantioselective vs enantioselective methods for estimation of consumption,https://www.sciencedirect.com/science/article/pii/S0379073821001936,FSI,Volume 325 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/325/suppl/C,
25,A preliminary investigation of transfer of condom lubricants in the vaginal matrix,https://www.sciencedirect.com/science/article/pii/S0379073821001675/pdfft?md5=7ff00e3b2050da2a9eba5a6d75ceb488&pid=1-s2.0-S0379073821001675-main.pdf,FSI,Volume 325 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/325/suppl/C,
26,Unintentional cannabis poisoning in toddlers: A one year study in Marseille,https://www.sciencedirect.com/science/article/pii/S037907382100178X,FSI,Volume 325 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/325/suppl/C,
27,Use of post-mortem chest computed tomography in Covid-19 pneumonia,https://www.sciencedirect.com/science/article/pii/S0379073821001717,FSI,Volume 325 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/325/suppl/C,
28,How low can we go? A skeletal maturity threshold for probabilistic visual sex estimation from immature human os coxae,https://www.sciencedirect.com/science/article/pii/S0379073821001742,FSI,Volume 325 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/325/suppl/C,
29,Verifying authorship for forensic purposes: A computational protocol and its validation,https://www.sciencedirect.com/science/article/pii/S0379073821001444,FSI,Volume 325 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/325/suppl/C,
30,Determination of endogenous GHB levels in chest and pubic hair,https://www.sciencedirect.com/science/article/pii/S0379073821001778,FSI,Volume 325 ,https://www.sciencedirect.com/journal/forensic-science-international/vol/325/suppl/C,
